,SNO,State,District,No. of Applications Received,No. of Applications Not Verified,No. of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo Uploaded,No. of Constructed Toilet Photo Approved,No. of Commenced Toilet Photo ,No. of Constructed Toilet Photo through Swachhalaya
614,51,Uttar Pradesh,Mahoba,21626,1040,10962,10471,9201,9189,65,370,8588,6769,1532,423
615,52,Uttar Pradesh,Mainpuri,54989,2744,14926,13538,12424,35781,134,1404,10697,5340,448,180
616,53,Uttar Pradesh,Mathura,86195,3846,15637,15238,14001,53912,139,12661,11736,3966,1149,247
617,54,Uttar Pradesh,Mau,28880,2041,18210,15046,13659,7257,114,1258,12817,284,782,83
618,55,Uttar Pradesh,Meerut,48464,3662,22740,22418,18953,20012,81,1969,20298,4151,786,58
619,56,Uttar Pradesh,Mirzapur-cum-Vindhyachal,54599,3852,10646,10074,6694,36814,90,3197,8856,5887,801,62
620,57,Uttar Pradesh,Moradabad,46370,1914,9665,9615,8736,30734,152,3905,9420,3779,176,152
621,58,Uttar Pradesh,Muzaffarnagar,19119,1884,7924,7892,7081,8786,56,469,7642,1285,79,49
622,59,Uttar Pradesh,Pilibhit,20377,1215,11767,11598,7001,7170,68,157,7298,232,903,48
623,60,Uttar Pradesh,Pratapgarh,32980,6205,13026,10621,9353,13278,82,389,9745,1583,562,59
624,61,Uttar Pradesh,Prayagraj,66709,812,21362,20806,17148,34144,98,10293,19277,11277,355,226
625,62,Uttar Pradesh,Rae Bareli,15289,233,9521,9451,7529,4075,26,1434,7526,4168,798,15
626,63,Uttar Pradesh,Rampur,34225,18,7398,7125,6270,25627,106,1076,6379,2260,442,91
627,64,Uttar Pradesh,Saharanpur,16881,906,10579,10564,10375,4091,118,1187,10417,4543,266,56
628,65,Uttar Pradesh,Sambhal,46330,1425,8494,8444,6777,35193,74,1144,7586,961,286,67
629,66,Uttar Pradesh,Sant Kabir Nagar,25940,823,7346,7019,6516,16671,35,1065,6156,2046,557,33
630,67,Uttar Pradesh,Shahjahanpur,29710,1877,16332,14885,12674,9125,114,2262,13133,9866,1837,187
631,68,Uttar Pradesh,Shamli,14937,1140,7461,7223,6699,5994,52,290,6496,384,432,128
632,69,Uttar Pradesh,Siddharthnagar,17866,683,9458,9444,4944,6810,45,870,8383,1601,1088,110
633,70,Uttar Pradesh,Sitapur,37173,2920,18907,17898,12166,12017,115,3214,13424,6930,2664,235
634,71,Uttar Pradesh,Sonbhadra,31473,2379,5947,5830,4589,19583,39,3525,4342,2079,939,102
635,72,Uttar Pradesh,Srawasti,4370,906,2505,1655,713,835,21,103,1071,107,365,19
636,73,Uttar Pradesh,Sultanpur,5900,131,3415,3180,2762,2178,32,144,2670,2215,339,129
637,74,Uttar Pradesh,Unnao,39227,3249,20004,19280,14040,13620,89,2265,17543,8413,854,60
638,75,Uttar Pradesh,Varanasi,24757,916,11571,11568,4037,11701,55,514,10526,9289,420,55
639,1,Uttarakhand,Almora,554,53,429,421,250,28,4,40,337,10,2,6
640,2,Uttarakhand,Bageshwar,1032,31,643,643,288,334,0,24,652,228,0,3
641,3,Uttarakhand,Chamoli Gopeshwar,2356,260,2003,1678,1038,49,4,40,1177,431,21,1
642,4,Uttarakhand,Champawat,682,175,498,493,372,7,1,1,138,0,2,0
643,5,Uttarakhand,Dehradun,2945,80,1998,1989,420,858,4,5,963,83,18,9
644,6,Uttarakhand,Garhwal,824,229,443,427,415,135,0,17,307,106,29,4
645,7,Uttarakhand,Hardwar,5126,505,3715,3296,1772,846,4,56,1811,606,79,1865
646,8,Uttarakhand,Nainital,3125,979,2016,1529,286,93,0,37,1210,0,112,3
647,9,Uttarakhand,Pithoragarh,1823,384,1129,1056,713,148,7,155,498,218,27,1
648,10,Uttarakhand,Rudraprayag,170,6,157,138,124,6,0,1,116,77,9,1
649,11,Uttarakhand,Tehri,432,11,351,351,338,61,1,8,287,193,3,104
650,12,Uttarakhand,Udhamsingh Nagar,5287,838,3776,2716,1944,654,11,8,1291,228,596,105
651,13,Uttarakhand,Uttarkashi,1041,87,941,882,732,11,0,2,724,58,59,8
652,1,West Bengal,Bankura,5143,37,4994,4924,4923,93,7,12,4730,2532,10,2
653,2,West Bengal,Barddhaman,24256,10211,12221,11493,11178,1546,9,269,16133,2122,37,4
654,3,West Bengal,Birbhum,21377,848,10911,10692,10241,2042,33,7543,9252,3843,41,131
655,4,West Bengal,Dakshin Dinajpur,4980,2778,1189,980,967,305,11,697,453,57,2,0
656,5,West Bengal,Darjeeling,1654,1274,346,312,312,29,3,2,160,25,2,3
657,6,West Bengal,Haora,2875,1395,1411,1411,1408,0,3,66,2218,1404,84,2
658,7,West Bengal,Hugli-Chinsurah,9888,841,8888,8861,6162,56,7,96,9548,3652,5,2
659,8,West Bengal,Jalpaiguri,4224,253,3951,2172,2172,4,7,9,1164,466,1,5
660,9,West Bengal,Koch Bihar,4759,567,4107,3531,3520,31,3,51,4209,1308,0,5
661,10,West Bengal,Kolkata,62,53,0,0,0,0,3,6,3,0,4,4
662,11,West Bengal,Malda,8603,5501,921,917,904,0,15,2166,1564,279,2,32
663,12,West Bengal,Murshidabad,23642,3347,17127,14782,14625,1483,20,1665,14874,4423,308,15
664,13,West Bengal,Nadia,10820,3112,7217,6818,1394,51,5,435,10120,1960,7,2
665,14,West Bengal,North 24 Paraganas,58646,13606,28620,27092,10777,3039,26,13355,22250,14216,51,7
666,15,West Bengal,Paschim Medinipur,8095,1411,6423,4939,4893,92,11,158,5265,101,8,13
667,16,West Bengal,Purba Medinipur,10012,4014,5428,4629,3190,60,9,501,5788,2955,9,10
668,17,West Bengal,Puruliya,3363,2238,1096,637,637,4,2,23,211,0,1,1
669,18,West Bengal,South 24 Paragnas,28975,11676,7420,6864,6437,528,22,9329,7937,5023,16,6
670,19,West Bengal,Uttar Dinajpur,49829,45689,2801,2317,2262,1016,120,203,4024,116,112,85
