,SNO,State,District,ulb,No. of Applications Received,No. of Applications Not Verified,No. of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo Uploaded,No. of Constructed Toilet Photo Approved,No. of Commenced Toilet Photo ,No. of Constructed Toilet Photo through Swachhalaya
0,1,Andaman & Nicobar Islands,South Andaman,Port Blair (M Cl),169,162,4,0,0,0,0,3,3,0,0,61
0,1,Andhra Pradesh,Anantapur ,Anantapur (M Corp.),3613,34,649,649,649,0,1,2929,654,0,0,2
2,2,Andhra Pradesh,Anantapur ,Dharmavaram (M),6925,143,3360,3360,3358,0,1,3421,3363,0,2,0
4,3,Andhra Pradesh,Anantapur ,Gooty,2158,52,982,982,978,0,0,1124,983,0,0,0
6,4,Andhra Pradesh,Anantapur ,Guntakal (M),5873,64,2552,2552,2552,0,0,3257,2552,0,0,0
8,5,Andhra Pradesh,Anantapur ,Hindupur (M),5234,17,1510,1510,1506,0,0,3707,1510,0,0,0
10,6,Andhra Pradesh,Anantapur ,Kadiri (M),3684,32,1151,1151,1151,0,0,2501,1151,0,1,0
12,7,Andhra Pradesh,Anantapur ,Kalyandurg,5921,58,3165,3165,3164,0,0,2698,3165,0,0,1
14,8,Andhra Pradesh,Anantapur ,MADAKASIRA,3784,77,1240,1240,1239,0,0,2467,1240,0,0,0
16,9,Andhra Pradesh,Anantapur ,PAMIDI NAGARA,2257,16,839,839,838,0,0,1402,839,0,0,0
18,10,Andhra Pradesh,Anantapur ,PUTTAPARTHI,3783,13,2371,2371,2369,0,0,1399,2377,0,0,2
20,11,Andhra Pradesh,Anantapur ,Rayadurg (M),2794,9,1730,1730,1729,0,1,1054,1730,0,0,2
22,12,Andhra Pradesh,Anantapur ,Tadpatri (M),6500,3604,1509,1509,1507,0,0,1387,1509,0,0,2
0,1,Andhra Pradesh,Chittoor ,Chittoor (M),4217,62,1778,1778,1777,0,2,2375,1783,0,2,2
2,2,Andhra Pradesh,Chittoor ,Madanapalle (M),3883,25,687,687,687,0,0,3171,689,0,0,2
4,3,Andhra Pradesh,Chittoor ,Nagari (M),2383,60,1247,1247,1244,0,0,1076,1249,0,0,1
6,4,Andhra Pradesh,Chittoor ,Palamaner (M),405,10,235,235,235,0,0,160,235,0,0,0
8,5,Andhra Pradesh,Chittoor ,Punganur (M),1103,30,551,551,551,0,0,522,552,0,1,0
10,6,Andhra Pradesh,Chittoor ,Puttur (M),2190,43,1206,1206,1206,0,0,941,1206,0,0,0
12,7,Andhra Pradesh,Chittoor ,Srikalahasti (M),1626,43,727,727,727,0,0,856,728,0,1,1
14,8,Andhra Pradesh,Chittoor ,Tirupati (M Corp.),1311,6,523,523,518,0,0,782,523,0,0,1
0,1,Andhra Pradesh,East Godavari,Amalapuram (M),528,15,236,236,236,0,1,276,239,0,1,1
2,2,Andhra Pradesh,East Godavari,Gollaprolu,1437,72,827,827,827,0,0,538,827,0,0,1
4,3,Andhra Pradesh,East Godavari,Kakinada (M Corp.),7214,73,4061,4061,4058,0,0,3080,4066,0,1,3
6,4,Andhra Pradesh,East Godavari,Mandapeta (M),593,11,309,309,308,0,0,273,309,0,0,0
8,5,Andhra Pradesh,East Godavari,MUMMIDIVARAM,2889,76,1669,1669,1668,0,0,1144,1669,0,0,0
10,6,Andhra Pradesh,East Godavari,Peddapuram (M),1053,32,740,740,739,0,0,281,740,0,0,1
12,7,Andhra Pradesh,East Godavari,Pithapuram (M),2486,20,1242,1242,1241,0,0,1224,1243,0,0,0
14,8,Andhra Pradesh,East Godavari,Rajahmundry (M Corp.),1525,25,958,958,956,0,0,542,958,0,0,1
16,9,Andhra Pradesh,East Godavari,Ramachandrapuram (M),1929,124,1020,1020,1014,0,0,785,1020,0,0,2
18,10,Andhra Pradesh,East Godavari,Samalkot (M),1651,28,1024,1024,1022,0,0,599,1024,0,0,0
20,11,Andhra Pradesh,East Godavari,Tuni (M),640,25,366,366,366,0,1,248,367,0,1,1
22,12,Andhra Pradesh,East Godavari,Yeleswaram,2746,96,1537,1537,1537,0,0,1113,1537,0,0,1
0,1,Andhra Pradesh,Guntur ,Amaravati,0,0,0,0,0,0,0,0,0,0,0,0
2,2,Andhra Pradesh,Guntur ,Bapatla (M),2752,9,1327,1327,1326,0,0,1416,1328,0,1,0
4,3,Andhra Pradesh,Guntur ,Chilakaluripet (M),8851,8,4086,4086,4084,0,0,4757,4086,0,0,0
6,4,Andhra Pradesh,Guntur ,Guntur (M Corp.),12889,1411,8356,8356,8348,0,0,3122,8359,0,3,1
8,5,Andhra Pradesh,Guntur ,Macherla (M),4205,80,2591,2591,2589,0,0,1534,2592,0,1,1
10,6,Andhra Pradesh,Guntur ,Mangalagiri (M),1324,7,674,674,674,0,1,642,675,0,0,0
12,7,Andhra Pradesh,Guntur ,Narasaraopet (M),3248,17,1234,1234,1233,0,0,1997,1234,0,0,1
14,8,Andhra Pradesh,Guntur ,Piduguralla (NP),2417,12,1310,1310,1310,0,1,1094,1311,0,1,0
16,9,Andhra Pradesh,Guntur ,Ponnur (M),728,21,272,272,272,0,1,434,273,0,0,1
18,10,Andhra Pradesh,Guntur ,Repalle (M),1342,17,874,874,873,0,0,451,875,0,0,0
20,11,Andhra Pradesh,Guntur ,Sattenapalle (M),4413,2,2176,2176,2176,0,0,2235,2176,0,0,1
22,12,Andhra Pradesh,Guntur ,Tadepalle (M),4,3,0,0,0,0,1,0,1,0,0,3
24,13,Andhra Pradesh,Guntur ,Tenali (M),1356,13,756,756,755,0,0,587,757,0,0,0
26,14,Andhra Pradesh,Guntur ,Vinukonda (M),2259,33,1542,1542,1542,0,0,684,1544,0,1,0
0,1,Andhra Pradesh,Krishna,Gudivada (M),2198,78,888,888,888,0,0,1232,888,0,0,0
2,2,Andhra Pradesh,Krishna,Jaggaiahpet (M),2217,44,1416,1416,1415,0,0,757,1416,0,0,0
4,3,Andhra Pradesh,Krishna,Machilipatnam (M),7238,52,4031,4031,4029,0,0,3155,4032,0,1,1
6,4,Andhra Pradesh,Krishna,Nandigama,2553,90,1725,1725,1714,0,0,738,1727,0,0,1
8,5,Andhra Pradesh,Krishna,Nuzvid (M),1442,17,606,606,605,0,1,818,606,0,0,2
10,6,Andhra Pradesh,Krishna,Pedana (M),2846,7,1408,1408,1408,0,0,1431,1409,0,0,0
12,7,Andhra Pradesh,Krishna,Tiruvuru,2062,90,1306,1306,1304,0,0,666,1306,0,0,3
14,8,Andhra Pradesh,Krishna,Vijayawada (M Corp.),2439,29,1730,1730,1730,0,1,679,1733,0,1,0
16,9,Andhra Pradesh,Krishna,Vuyyuru,1540,7,1171,1171,1171,0,0,362,1171,0,0,2
0,1,Andhra Pradesh,Kurnool ,Adoni (M),7560,13,3391,3391,3390,0,0,4156,3396,0,0,1
2,2,Andhra Pradesh,Kurnool ,ALLAGADDA,5229,9,3391,3391,3388,0,0,1829,3391,0,0,0
4,3,Andhra Pradesh,Kurnool ,Atmakur,1952,35,866,866,866,0,0,1051,866,0,0,0
6,4,Andhra Pradesh,Kurnool ,Dhone (NP),3395,18,2340,2340,2337,0,3,1034,2343,0,0,3
8,5,Andhra Pradesh,Kurnool ,Gudur NP,1290,3,668,668,668,0,0,619,668,0,0,0
10,6,Andhra Pradesh,Kurnool ,Kurnool (M Corp.),8902,26,4957,4957,4951,0,1,3918,4962,0,0,4
12,7,Andhra Pradesh,Kurnool ,Nandikotkur,2303,72,1007,1007,1007,0,1,1223,1008,0,0,0
14,8,Andhra Pradesh,Kurnool ,Nandyal (M),7022,125,2830,2830,2827,0,0,4067,2831,0,0,2
16,9,Andhra Pradesh,Kurnool ,Yemmiganur (M),6183,14,2812,2812,2812,0,0,3357,2812,0,0,0
0,1,Andhra Pradesh,Nellore ,Atmakur,4343,121,2619,2616,2613,0,0,1603,2616,0,0,0
2,2,Andhra Pradesh,Nellore ,Gudur (M),2003,400,848,847,846,0,0,755,848,0,2,1
4,3,Andhra Pradesh,Nellore ,Kavali (M),4522,546,2227,2227,2226,0,3,1746,2228,0,0,0
6,4,Andhra Pradesh,Nellore ,Naidupet,3084,113,1593,1591,1591,0,0,1378,1592,0,0,0
8,5,Andhra Pradesh,Nellore ,Nellore (M Corp.),16909,3820,10169,10169,10153,0,1,2919,10177,0,4,1
10,6,Andhra Pradesh,Nellore ,Sullurpet,2,2,0,0,0,0,0,0,0,0,1,0
12,7,Andhra Pradesh,Nellore ,Venkatagiri (M),3502,256,2222,2222,2218,0,0,1024,2224,0,1,0
0,1,Andhra Pradesh,Prakasam,Addanki,3479,85,932,932,931,0,0,2462,933,0,0,2
2,2,Andhra Pradesh,Prakasam,CHIMAKURTHY,1453,70,628,628,627,0,0,755,628,0,0,0
4,3,Andhra Pradesh,Prakasam,Chirala (M),4733,25,1788,1788,1788,0,0,2920,1788,0,0,2
6,4,Andhra Pradesh,Prakasam,Giddaluru(NP),2708,173,1075,1075,1071,0,2,1458,1076,0,1,3
8,5,Andhra Pradesh,Prakasam,Kandukur (M),2823,11,1329,1329,1327,0,0,1483,1330,0,0,1
10,6,Andhra Pradesh,Prakasam,Kanigiri,2698,18,1309,1309,1306,0,0,1371,1310,0,0,2
12,7,Andhra Pradesh,Prakasam,Markapur (M),2233,18,1447,1447,1446,0,0,768,1447,0,1,5
14,8,Andhra Pradesh,Prakasam,Ongole (M),10921,54,6461,6461,6458,0,0,4406,6463,0,3,4
0,1,Andhra Pradesh,Srikakulam,Amadalavalasa (M),3298,82,1543,1543,1542,0,0,1673,1543,0,0,0
2,2,Andhra Pradesh,Srikakulam,Ichchapuram (M),3325,23,1284,1284,1284,0,1,2017,1285,0,0,1
4,3,Andhra Pradesh,Srikakulam,Palakonda,1317,28,737,737,737,0,3,549,742,0,2,1
6,4,Andhra Pradesh,Srikakulam,Palasa Kasibugga (M),3687,293,1686,1686,1684,0,1,1707,1688,0,0,1
8,5,Andhra Pradesh,Srikakulam,Rajam (NP),2538,78,1412,1412,1412,0,0,1048,1412,0,0,0
10,6,Andhra Pradesh,Srikakulam,Srikakulam (M),3543,38,1831,1831,1831,0,1,1673,1835,0,0,3
0,1,Andhra Pradesh,Visakhapatnam,Anakapalle (M),1013,7,529,529,528,0,0,477,529,0,0,0
2,2,Andhra Pradesh,Visakhapatnam,Bheemunipatnam (M),543,0,479,479,479,0,0,64,479,0,0,0
4,3,Andhra Pradesh,Visakhapatnam,GVMC,25029,193,12204,12204,12188,0,6,12626,12217,0,37,9
6,4,Andhra Pradesh,Visakhapatnam,Narsipatnam,3965,52,1278,1278,1276,0,0,2635,1278,0,10,0
8,5,Andhra Pradesh,Visakhapatnam,Yelamanchili,4314,46,2152,2152,2151,0,0,2116,2153,0,1,3
0,1,Andhra Pradesh,Vizianagaram ,Bobbili (M),6087,75,2917,2917,2916,0,0,3095,2917,0,0,0
2,2,Andhra Pradesh,Vizianagaram ,Nellimarla,1931,59,853,853,852,0,0,1019,853,0,0,0
4,3,Andhra Pradesh,Vizianagaram ,Parvathipuram (M),4094,185,1825,1825,1824,0,1,2083,1827,0,0,2
6,4,Andhra Pradesh,Vizianagaram ,Salur (M),2765,28,1268,1268,1268,0,0,1469,1268,0,0,0
8,5,Andhra Pradesh,Vizianagaram ,Vizianagaram (M),8299,315,3103,3103,3100,0,3,4878,3106,0,1,0
0,1,Andhra Pradesh,West Godavari,Bhimavaram (M),1276,3,548,548,547,0,0,725,549,0,1,1
2,2,Andhra Pradesh,West Godavari,Eluru (M Corp.),2313,70,1178,1178,1177,0,0,1065,1180,0,2,3
4,3,Andhra Pradesh,West Godavari,Jangareddygudem,3663,9,2045,2045,2045,0,0,1609,2045,0,1,0
6,4,Andhra Pradesh,West Godavari,Kovvur (M),1345,5,755,755,755,0,0,585,755,0,0,0
8,5,Andhra Pradesh,West Godavari,Narasapur (M),1863,11,892,892,892,0,0,960,893,0,1,0
10,6,Andhra Pradesh,West Godavari,Nidadavole (M),769,6,493,493,493,0,0,270,494,0,0,0
12,7,Andhra Pradesh,West Godavari,Palacole (M),926,13,426,426,425,0,0,487,426,0,0,0
14,8,Andhra Pradesh,West Godavari,Tadepalligudem (M),1841,6,686,686,686,0,1,1148,687,0,0,0
16,9,Andhra Pradesh,West Godavari,Tanuku (M),973,16,259,259,259,0,0,698,259,0,1,0
0,1,Andhra Pradesh,Y.S.R.,Badvel (M),978,48,636,636,636,0,1,293,638,0,0,1
2,2,Andhra Pradesh,Y.S.R.,Jammalamadugu (NP),1915,121,1072,1072,1071,0,1,721,1073,0,0,0
4,3,Andhra Pradesh,Y.S.R.,Kadapa (M Corp.),7488,64,3736,3736,3730,0,1,3687,3737,0,1,1
6,4,Andhra Pradesh,Y.S.R.,Mydukur,4032,847,2110,2110,2109,0,2,1073,2422,0,0,0
8,5,Andhra Pradesh,Y.S.R.,Proddatur (M),2862,341,1609,1609,1609,0,0,912,1611,0,1,0
10,6,Andhra Pradesh,Y.S.R.,Pulivendla (M),3141,11,788,788,788,0,0,2342,788,0,0,1
12,7,Andhra Pradesh,Y.S.R.,Rajampet (NP),532,6,310,310,310,0,1,215,311,0,0,0
14,8,Andhra Pradesh,Y.S.R.,Rayachoti (M),1907,20,614,614,614,0,1,1272,615,0,0,3
16,9,Andhra Pradesh,Y.S.R.,Yerraguntla,1312,27,867,867,866,0,0,418,867,0,0,0
0,1,Arunachal Pradesh,Anjaw,Hawai (NT),0,0,0,0,0,0,0,0,0,0,0,0
0,1,Arunachal Pradesh,Changlang,Changlang (NT),32,1,31,31,31,0,0,0,31,31,0,0
2,2,Arunachal Pradesh,Changlang,Jairampur (NT),53,0,52,52,52,1,0,0,52,52,1,0
4,3,Arunachal Pradesh,Changlang,Miao (NT),49,0,49,49,49,0,0,0,49,49,0,0
0,1,Arunachal Pradesh,Dibang Valley,Anini (NT),0,0,0,0,0,0,0,0,0,0,0,0
0,1,Arunachal Pradesh,East Kameng,Seppa (NT),559,404,152,151,151,3,0,0,554,0,0,0
0,1,Arunachal Pradesh,East Siang,Boleng (NT),77,0,76,72,72,0,0,1,75,71,0,0
2,2,Arunachal Pradesh,East Siang,Pasighat (NT),9,0,9,0,0,0,0,0,8,0,0,0
0,1,Arunachal Pradesh,Karung Kumey,Koloriang (NT),242,0,241,5,5,1,0,0,235,1,0,0
0,1,Arunachal Pradesh,Kra Dadi,PALIN,166,0,166,118,118,0,0,0,166,24,0,0
0,1,Arunachal Pradesh,Lohit,Namsai (NT),125,22,96,96,96,6,1,0,69,56,38,0
2,2,Arunachal Pradesh,Lohit,Tezu (NT),263,22,238,229,229,2,1,0,256,220,1,1
0,1,Arunachal Pradesh,Lower Dibang Valley,Roing (NT),684,9,653,526,405,21,0,1,525,402,1,0
0,1,Arunachal Pradesh,Lower Subansari,RAGA,0,0,0,0,0,0,0,0,0,0,0,0
2,2,Arunachal Pradesh,Lower Subansari,Ziro (NT),308,300,8,0,0,0,0,0,249,0,0,0
0,1,Arunachal Pradesh,Papum Pare,DOIMUKH,0,0,0,0,0,0,0,0,0,0,0,0
2,2,Arunachal Pradesh,Papum Pare,Itanagar (NT),608,0,590,590,585,18,0,0,590,0,1,0
4,3,Arunachal Pradesh,Papum Pare,KIMIN,0,0,0,0,0,0,0,0,0,0,0,0
6,4,Arunachal Pradesh,Papum Pare,Naharlagun (NT),0,0,0,0,0,0,0,0,0,0,0,0
8,5,Arunachal Pradesh,Papum Pare,Sagalee (NT),11,0,10,10,10,1,0,0,10,1,0,0
0,1,Arunachal Pradesh,Siang,PANGIN,0,0,0,0,0,0,0,0,0,0,0,0
0,1,Arunachal Pradesh,Tawang ,Tawang (NT),104,12,92,92,91,0,0,0,92,92,0,0
0,1,Arunachal Pradesh,Tirap,Deomali (NT),51,50,0,0,0,1,0,0,51,0,0,0
2,2,Arunachal Pradesh,Tirap,Khonsa (NT),202,147,54,54,54,1,0,0,202,54,0,0
4,3,Arunachal Pradesh,Tirap,Longding,145,45,100,0,0,0,0,0,145,0,0,0
0,1,Arunachal Pradesh,Upper Siang,MARIYANG,51,0,51,51,51,0,0,0,51,0,0,0
2,2,Arunachal Pradesh,Upper Siang,Yingkiong (NT),158,1,156,156,156,1,0,0,157,0,0,0
0,1,Arunachal Pradesh,Upper Subansari,Daporijo (NT),111,0,111,111,111,0,0,0,111,111,0,0
2,2,Arunachal Pradesh,Upper Subansari,DUMPORIJO,87,86,0,0,0,0,1,0,86,0,0,0
0,1,Arunachal Pradesh,West Kameng,Bomdila (NT),15,15,0,0,0,0,0,0,14,0,0,0
2,2,Arunachal Pradesh,West Kameng,Dirang (NT),0,0,0,0,0,0,0,0,0,0,0,0
0,1,Arunachal Pradesh,West Siang,Aalo (NT),175,0,175,0,0,0,0,0,171,0,0,0
2,2,Arunachal Pradesh,West Siang,Basar (NT),35,0,35,0,0,0,0,0,35,0,0,0
0,1,Assam,Baksa,Goreswar (TC),1563,1363,197,196,0,1,2,0,89,0,3,0
0,1,Assam,Barpeta Road ,Barpeta (MB),21475,20592,833,796,0,0,41,9,1019,0,310,21
2,2,Assam,Barpeta Road ,Barpeta Road (MB),902,272,622,620,4,1,1,6,606,0,0,0
4,3,Assam,Barpeta Road ,Howli (TC),1861,1494,359,22,0,8,0,0,902,0,3,0
6,4,Assam,Barpeta Road ,Patacharkuchi,714,465,232,232,0,17,0,0,233,0,0,0
8,5,Assam,Barpeta Road ,Pathsala (TC),368,141,218,216,0,7,0,2,158,0,7,0
10,6,Assam,Barpeta Road ,Sarbhog (TC),567,10,551,550,1,3,0,3,550,0,0,0
12,7,Assam,Barpeta Road ,Sarthebari (TC),1607,1338,267,267,0,0,0,2,251,0,23,1
0,1,Assam,Bongaigaon,Abhayapuri (TC),862,484,369,333,0,1,0,8,623,0,0,1
2,2,Assam,Bongaigaon,Bongaigaon (MB),942,106,818,401,0,15,0,3,340,0,3,0
4,3,Assam,Bongaigaon,Kajalgaon (TC),330,329,0,0,0,0,1,0,1,0,0,0
0,1,Assam,Cachar,Lakhipur (MB),866,37,820,780,1,7,0,2,414,0,11,0
2,2,Assam,Cachar,Silchar (MB),3337,2615,718,431,1,0,2,2,1527,0,16,1
4,3,Assam,Cachar,Sonai (TC),1089,0,1046,1022,1,41,1,1,914,0,1,0
0,1,Assam,Chairang,Basugaon (TC),539,53,440,258,0,30,2,14,379,0,2,0
2,2,Assam,Chairang,Bijni (TC),449,14,398,5,0,24,2,11,289,0,1,1
0,1,Assam,Darrang,Kharupatia (TC),1447,1229,207,113,0,1,1,9,719,0,3,0
2,2,Assam,Darrang,Mangaldoi (MB),801,534,229,171,0,12,1,25,336,56,102,0
0,1,Assam,Dhemaji ,Dhemaji (TC),3226,2294,925,160,0,0,3,4,1349,0,53,2
2,2,Assam,Dhemaji ,Silapathar (TC),1141,393,690,110,0,56,1,1,894,0,5,1
0,1,Assam,Dhubri ,Bilasipara (TC),5823,2181,3637,2637,1,2,3,0,2838,0,32,1
2,2,Assam,Dhubri ,Chapar (TC),3112,1981,406,251,0,0,0,725,988,0,4,0
4,3,Assam,Dhubri ,Dhubri (MB),5018,4206,720,636,0,0,5,87,669,0,1,1
6,4,Assam,Dhubri ,Gauripur (TC),1575,651,880,335,1,30,2,12,488,0,43,0
8,5,Assam,Dhubri ,Sapatgram (TC),1885,678,1204,1201,1,1,2,0,747,0,57,2
0,1,Assam,Dibrugarh,Chabua (TC),167,23,140,118,0,1,0,3,129,0,7,0
2,2,Assam,Dibrugarh,Dibrugarh (MB),2127,1026,1071,441,0,30,0,0,119,0,0,0
4,3,Assam,Dibrugarh,Naharkatiya (TC),705,530,172,94,0,2,1,0,150,0,4,0
6,4,Assam,Dibrugarh,Namrup(TC),250,3,198,173,0,49,0,0,109,0,0,0
0,1,Assam,Dima Hassao,Haflong (TC),1535,334,782,656,0,55,0,364,600,0,19,0
2,2,Assam,Dima Hassao,Mahur (TC),1003,752,248,207,0,1,0,2,408,10,412,0
4,3,Assam,Dima Hassao,Maibong (TC),242,131,93,72,0,15,0,3,79,58,0,1
6,4,Assam,Dima Hassao,Umrangso (TC),1594,670,584,0,0,4,0,336,0,0,1,0
0,1,Assam,Goalpara ,Goalpara (MB),2344,712,1592,227,0,0,1,39,1408,0,0,0
2,2,Assam,Goalpara ,Lakhipur (TC),2550,2189,354,84,0,1,2,4,1494,0,0,4
0,1,Assam,Golaghat,Barpathar (TC),1418,687,335,330,0,126,0,270,215,33,30,0
2,2,Assam,Golaghat,Bokakhat (TC),17714,9739,169,0,0,4446,0,3360,323,0,0,0
4,3,Assam,Golaghat,Dergaon (MB),4203,2338,200,200,39,3,0,1662,213,13,1,0
6,4,Assam,Golaghat,Golaghat (MB),35979,25904,981,185,43,1642,1,7451,578,64,0,0
8,5,Assam,Golaghat,Sarupathar (TC),7307,3765,177,176,0,2,0,3363,167,35,8,0
0,1,Assam,Hailakandi,Hailakandi (MB),1982,1312,634,172,0,12,4,20,944,0,24,8
2,2,Assam,Hailakandi,Lala (TC),596,158,419,398,13,15,4,0,308,4,23,2
0,1,Assam,Jorhat ,Jorhat (MB),4021,3312,323,103,0,2,2,382,108,0,8,0
2,2,Assam,Jorhat ,Mariani (TC),467,5,458,425,0,2,1,1,167,0,4,1
4,3,Assam,Jorhat ,Teok (TC),711,0,699,194,0,6,1,5,160,0,3,0
6,4,Assam,Jorhat ,Titabor Town (TC),1506,944,455,40,0,2,0,105,454,0,10,1
0,1,Assam,Kamrup,Palasbari (MB),539,108,170,159,0,211,3,47,111,0,0,0
2,2,Assam,Kamrup,Rangia (MB),888,202,672,672,0,5,1,8,674,1,2,3
0,1,Assam,Kamrup Metropolitian,Guwahati (M Corp.),11641,3371,8266,6777,1,0,4,0,2315,0,85,27
2,2,Assam,Kamrup Metropolitian,North Guwahati (TC),333,7,315,297,0,9,0,2,180,0,0,0
0,1,Assam,Karbi Anlong,Bakalia,5274,3709,655,648,0,5,1,904,499,0,26,1
2,2,Assam,Karbi Anlong,Bokajan (TC),22365,12557,1,0,0,0,1,9806,5,0,2,0
4,3,Assam,Karbi Anlong,Diphu (TC),10116,8877,443,439,0,396,2,398,1336,0,7,7
6,4,Assam,Karbi Anlong,Dokmoka (TC),11324,2363,654,620,0,2556,1,5750,305,0,17,4
8,5,Assam,Karbi Anlong,Donkamokam (TC),14763,1730,44,19,0,1521,1,11467,4,0,2,0
10,6,Assam,Karbi Anlong,Hamren (TC),5452,0,1601,732,0,1672,4,2175,446,0,19,1
12,7,Assam,Karbi Anlong,Howraghat (TC),4454,14,185,176,0,2586,1,1668,95,0,51,1
0,1,Assam,Karimganj ,Badarpur (TC),398,16,353,352,0,12,0,17,352,0,0,0
2,2,Assam,Karimganj ,Karimganj (MB),819,652,127,116,0,0,3,37,172,0,3,1
0,1,Assam,Kokrajhar ,Gossaigaon (TC),124,75,17,17,0,23,1,8,82,0,0,0
2,2,Assam,Kokrajhar ,Kokrajhar (MB),428,4,420,418,0,0,0,4,391,0,0,0
0,1,Assam,Majuli,Majuli (TC),0,0,0,0,0,0,0,0,0,0,0,0
0,1,Assam,Marigaon ,Marigaon (MB),4961,1107,1111,0,0,2,6,2735,1020,0,33,9
0,1,Assam,Nagaon ,Dhing (TC),12102,5228,373,282,0,0,6,6495,390,0,24,2
2,2,Assam,Nagaon ,Doboka (TC),1513,751,588,2,0,29,4,141,509,0,1,0
4,3,Assam,Nagaon ,Hojai (MB),1044,238,168,146,11,553,1,84,133,0,5,2
6,4,Assam,Nagaon ,Kampur Town (TC),1266,262,405,401,95,0,0,599,396,0,0,0
8,5,Assam,Nagaon ,Lanka (MB),3787,680,2151,2063,5,141,1,814,2065,1353,3,0
10,6,Assam,Nagaon ,Lumding (MB),326,82,230,227,0,0,1,13,227,0,3,0
12,7,Assam,Nagaon ,Nagaon (MB),39599,10094,2220,1892,784,2556,14,24715,1377,0,8,10
14,8,Assam,Nagaon ,Raha (TC),1281,330,562,500,145,2,1,386,508,0,1,0
0,1,Assam,Nalbari ,Nalbari (MB),1299,1047,242,88,0,0,0,10,1183,0,2,0
2,2,Assam,Nalbari ,Tihu (TC),210,66,29,29,0,0,0,115,45,0,0,0
0,1,Assam,North Lakhimpur ,Bihpuria (TC),959,527,430,429,0,1,0,1,426,1,0,0
2,2,Assam,North Lakhimpur ,Dhakuakhana (TC),1524,1055,462,163,0,0,1,6,698,0,114,1
4,3,Assam,North Lakhimpur ,Narayanpur (TC),912,694,207,207,1,10,0,1,434,0,0,1
6,4,Assam,North Lakhimpur ,North Lakhimpur (MB),1499,1125,359,196,0,1,3,11,300,0,14,5
0,1,Assam,Sibsagar ,Amguri (MB),403,1,337,252,0,58,2,5,217,191,18,0
2,2,Assam,Sibsagar ,Demow(TC),263,15,230,206,0,18,0,0,223,0,0,0
4,3,Assam,Sibsagar ,Moranhat (TC),121,4,113,108,0,4,0,0,108,0,0,0
6,4,Assam,Sibsagar ,Nazira (MB),698,155,542,481,0,0,0,1,463,0,4,0
8,5,Assam,Sibsagar ,Sibsagar (MB),1034,703,295,37,0,34,0,2,350,0,0,0
10,6,Assam,Sibsagar ,Simaluguri (TC),374,80,294,282,0,0,0,0,282,0,0,0
12,7,Assam,Sibsagar ,Sonari (MB),1018,397,619,551,1,0,0,2,810,0,2,0
0,1,Assam,Sonitpur,Biswanath Chariali (TC),195,39,135,132,0,1,3,17,134,0,0,4
2,2,Assam,Sonitpur,Dhekiajuli (MB),948,541,358,357,1,10,0,39,345,0,0,1
4,3,Assam,Sonitpur,Gohpur (TC),1152,386,424,393,1,0,0,342,273,0,49,0
6,4,Assam,Sonitpur,Rangapara (TC),127,122,0,0,0,0,0,5,48,0,30,0
8,5,Assam,Sonitpur,Tezpur (MB),676,335,293,293,43,2,0,46,289,0,11,13
0,1,Assam,Tinsukia ,Chapakhowa,718,652,63,55,0,3,0,0,407,0,0,0
2,2,Assam,Tinsukia ,Digboi (TC),256,169,83,83,0,4,0,0,78,0,1,0
4,3,Assam,Tinsukia ,Doom Dooma (TC),535,245,285,51,0,5,0,0,349,0,6,0
6,4,Assam,Tinsukia ,Makum (TC),350,101,246,245,0,2,1,0,191,0,4,1
8,5,Assam,Tinsukia ,Margherita (TC),624,447,164,141,0,11,2,0,241,0,6,0
10,6,Assam,Tinsukia ,Tinsukia (MB),220,126,50,31,0,5,2,37,66,0,2,0
0,1,Assam,Udalguri ,Tangla (TC),373,215,46,46,0,0,0,112,87,0,96,0
2,2,Assam,Udalguri ,Udalguri (TC),1500,777,170,170,0,0,1,552,536,4,1,1
0,1,Bihar,Araria,Araria (Nagar Parishad),3047,870,2159,1728,131,8,8,2,1384,1088,475,88
2,2,Bihar,Araria,Forbesganj (Nagar Parishad),1453,73,1285,1156,379,92,2,1,879,59,221,36
4,3,Bihar,Araria,Jogabani (NP),2177,20,2157,700,234,0,0,0,765,0,775,2
0,1,Bihar,Arwal ,Arwal (Nagar Parishad),5051,578,3688,873,258,24,6,755,1153,0,765,25
0,1,Bihar,Aurangabad,Aurangabad (Nagar Parishad),1291,429,848,360,184,5,7,2,455,11,215,27
2,2,Bihar,Aurangabad,Daudnagar (NP),1713,40,1535,1535,469,121,5,12,1230,624,169,14
4,3,Bihar,Aurangabad,Nabinagar (NP),793,87,680,546,362,20,4,2,91,0,178,17
6,4,Bihar,Aurangabad,Rafiganj (NP),1626,597,736,463,208,145,4,144,522,361,215,13
0,1,Bihar,Banka ,Amarpur (NP),2028,934,1075,1068,786,15,2,2,796,0,65,9
2,2,Bihar,Banka ,Banka (NP),1144,202,870,765,162,61,8,3,289,0,229,39
0,1,Bihar,Begusarai ,Bakhri (NP),8017,2855,4733,4258,977,6,7,416,1958,0,1647,7
2,2,Bihar,Begusarai ,Balia (NP),6291,548,5061,4510,2691,677,4,1,2795,661,112,8
